job_id,job_title,company,location,source,employment_type,role_group,salary,description,requirements,skills_text,posted_date,url
JD013,Thực Tập Sinh Trí Tuệ Nhân Tạo AI Intern,Công ty TNHH Vietnam Concentrix Services,Hồ Chí Minh,TopCV,Full-time Internship,AI / ML,Thoả thuận,"Tham gia dự án AI thật cùng đội ngũ dev; có mentor hướng dẫn; liên quan LLM, Prompt Engineering hoặc Agent.","Có hiểu biết về LLM, Prompt Engineering hoặc từng thử nghiệm Agent.","LLM; prompt engineering; AI agent; development",,https://www.topcv.vn/brand/concentrixservices/tuyen-dung/thuc-tap-sinh-tri-tue-nhan-tao-ai-intern-j1988558.html
JD014,AI Engineer Intern,CÔNG TY CP HEPHAESTUS TECHNOLOGY,Hồ Chí Minh,TopCV,Internship,AI / ML,1 - 5 triệu,"Tham gia nghiên cứu, phát triển và xây dựng công nghệ lõi AI cho xử lý ngôn ngữ tự nhiên NLP.","Dưới 1 năm kinh nghiệm; định hướng AI Engineer.","AI; NLP; research; model development",,https://www.topcv.vn/viec-lam/ai-engineer-intern/1024400.html
JD015,AI Intern,IMT SOLUTIONS CORP,Hồ Chí Minh,TopCV,Internship,AI / ML,Tới 1 triệu,"Làm việc với team để làm rõ requirement; hỗ trợ maintain và thêm feature cho AI projects; research và integrate LLM.","Không yêu cầu kinh nghiệm; đại học trở lên.","AI project; LLM; requirement; feature development",,https://www.topcv.vn/viec-lam/ai-intern/1598604.html
JD016,Machine Learning Intern,MCV Corporation,Hồ Chí Minh - Quận 7,TopCV,Full-time Internship,AI / ML,Từ 5 triệu,"Vị trí Machine Learning Intern trong công ty truyền thông/quảng cáo, thực tập sinh số lượng tuyển 5.","Phù hợp ứng viên quan tâm Machine Learning.","machine learning; AI; data science",,https://www.topcv.vn/viec-lam/machine-learning-intern/835775.html
JD017,Data Engineer Intern,CÔNG TY CỔ PHẦN ĐẦU TƯ FINPROS,"Hà Nội, Hồ Chí Minh",TopCV,Internship,Data Engineer,1 - 5 triệu,"Phát triển công cụ lưu trữ dữ liệu; tối ưu ghi/đọc database; xây dựng kết nối dữ liệu; hoàn thiện Data Center/Data Warehouse.","Không yêu cầu kinh nghiệm.","database; data warehouse; data center; data source; performance",,https://www.topcv.vn/viec-lam/data-engineer-intern/1008332.html
JD018,Data Engineer Intern,Orient Software Development Corporation,"Đà Nẵng, Hồ Chí Minh",TopCV,Internship,Data Engineer,Tới 4 triệu,"Research data tools; đề xuất giải pháp; thiết kế và hỗ trợ quá trình data integration.","Không yêu cầu kinh nghiệm.","data tools; data integration; implementation; estimation",,https://www.topcv.vn/viec-lam/data-engineer-intern/888783.html
JD019,Data Engineer Intern,KYANON DIGITAL,Hồ Chí Minh,TopCV,Internship,Data Engineer,Từ 2 triệu,"Maintain data warehouse; technical support BI team to build dashboard reporting; làm task từ mentor.","Dưới 1 năm kinh nghiệm; đang học/tốt nghiệp IT, IS, Software Engineer hoặc liên quan.","data warehouse; BI; dashboard; technical support",,https://www.topcv.vn/viec-lam/data-engineer-intern/591889.html
JD020,Data Engineer Intern,ATALINK TECHNOLOGY JOINT STOCK COMPANY,Hồ Chí Minh,TopCV,Internship,Data Engineer,1 - 3 triệu,"Xây dựng và duy trì data pipelines ETL/ELT; collect, clean, process data từ API, database, file, crawler; làm với PostgreSQL, MySQL, ClickHouse, Airflow.","Sinh viên năm cuối hoặc mới tốt nghiệp CS, Data Science, IS, Mathematics hoặc liên quan.","ETL; ELT; API; PostgreSQL; MySQL; ClickHouse; Airflow; SQL",,https://www.topcv.vn/viec-lam/data-engineer-intern/1991600.html
JD021,Data Engineer Intern,Orient Software Development Corporation,"Hồ Chí Minh, Đà Nẵng",TopCV,Internship,Data Engineer,Thoả thuận,"Research data tools để giải quyết yêu cầu khách hàng; đề xuất solution, estimation và implement tools/integration.","Không yêu cầu kinh nghiệm.","data tools; data integration; customer requirements",,https://www.topcv.vn/viec-lam/data-engineer-intern/968072.html
JD022,Data Engineer Intern,Công ty Cổ phần Dịch vụ Tức Thời Ahamove,Hồ Chí Minh,TopCV,Internship,Data Engineer,Thoả thuận,"Maintain và optimize data infrastructure gồm database, ETL/ELT pipelines; làm với GCP, AWS, Databricks; ETL/ELT data mart.","Không yêu cầu kinh nghiệm.","ETL; ELT; database; GCP; AWS; Databricks; data mart",,https://www.topcv.vn/viec-lam/data-engineer-intern/1190610.html
JD023,Data Engineer Intern Internship Training Program,SCC VIETNAM,Hồ Chí Minh,TopCV,Internship,Data Engineer,Tới 4 triệu,"Tham gia Microsoft Power BI training program; học cách xây dựng business intelligence reports.","Không yêu cầu kinh nghiệm.","Power BI; BI report; data engineering training",,https://www.topcv.vn/viec-lam/data-engineer-intern-internship-training-program/616132.html
JD024,Data Engineering Intern,ShopBack,Hồ Chí Minh,ShopBack Careers,Internship,Data Engineer,Unknown,"Tin careers ShopBack thuộc Engineering - Data Platform, vị trí Data Engineering Intern tại Ho Chi Minh, Vietnam.","Thông tin chi tiết cần crawl từ trang Lever job detail.","data engineering; data platform; engineering",,https://jobs.lever.co/shopback-2/
JD025,Business Analyst Intern,SmartPay,Hồ Chí Minh,TopCV,Internship,Business Analyst,Tới 2 triệu,"Research công nghệ và product functionalities; phát triển BRD, transaction flows; phối hợp team và hỗ trợ operation.","Dưới 1 năm kinh nghiệm.","BRD; transaction flow; product; requirement; operation",,https://www.topcv.vn/viec-lam/business-analyst-intern/503522.html
JD026,Business Analyst Intern - Hồ Chí Minh,CÔNG TY CỔ PHẦN PROSHIP,Hồ Chí Minh - Tân Bình,TopCV,Internship,Business Analyst,Thoả thuận,"Thu thập và tìm hiểu yêu cầu nghiệp vụ; tạo tài liệu đặc tả hệ thống, use case, business rules, wireframe; hỗ trợ kiểm thử.","Không yêu cầu kinh nghiệm; có nền tảng IT; biết dữ liệu và truy vấn dữ liệu cơ bản; Figma là lợi thế.","requirements; use case; business rules; wireframe; testing; Figma; SQL",,https://www.topcv.vn/viec-lam/business-analyst-intern-ho-chi-minh/1005721.html
JD027,Business Analyst Intern,CÔNG TY TNHH PEACH CONSULTING,Hồ Chí Minh - Bình Thạnh,TopCV,Internship,Business Analyst,Từ 3 triệu,"Hiểu nhu cầu khách hàng; phân tích và thiết kế hệ thống; đề xuất technical solution; phối hợp stakeholder; test và đánh giá performance.","Khoảng 1 năm kinh nghiệm.","stakeholder; system analysis; solution; testing; performance",,https://www.topcv.vn/viec-lam/business-analyst-intern/1099314.html
JD028,Business Analyst Intern,Công ty TNHH NHM Việt Nam,Hồ Chí Minh,TopCV,Internship,Business Analyst,Thoả thuận,"Gathering requirements; phân tích quy trình, workflow, system; phân tích dữ liệu để hỗ trợ decision-making.","Dưới 1 năm kinh nghiệm.","requirements gathering; workflow; process; data analysis",,https://www.topcv.vn/viec-lam/business-analyst-intern/1077735.html
JD029,Business Analyst Intern,Công ty TNHH Lửa Á Châu,Hồ Chí Minh,TopCV,Internship,Business Analyst,Thoả thuận,"Phân tích yêu cầu khách hàng; thiết kế quy trình kinh doanh thành hệ thống; mô tả và phân tích nghiệp vụ; xây dựng tài liệu đặc tả.","Không yêu cầu kinh nghiệm; đại học trở lên.","business process; requirement analysis; specification; documentation",,https://www.topcv.vn/viec-lam/business-analyst-intern/334067.html
JD030,Business Analyst Intern,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ CÔNG NGHỆ BIZITRIP,Hồ Chí Minh,TopCV,Internship,Business Analyst,Thoả thuận,"Hỗ trợ thu thập và phân tích yêu cầu người dùng; viết BRD, URD; phân tích quy trình đặt vé máy bay, khách sạn, tour; hỗ trợ kiểm thử.","Không yêu cầu kinh nghiệm; cao đẳng trở lên.","BRD; URD; user requirement; process analysis; testing",,https://www.topcv.vn/viec-lam/business-analyst-intern/1500263.html
JD031,Business Analyst Intern,ATALINK TECHNOLOGY JOINT STOCK COMPANY,Hồ Chí Minh - Quận 12,TopCV,Full-time Internship,Business Analyst,1 - 3 triệu,"Tự động hóa việc gathering, analysis và reporting metrics; market research; competitor analysis; dùng quantitative analysis và statistics.","Không yêu cầu kinh nghiệm.","market research; metrics; reporting; statistics; quantitative analysis",,https://www.topcv.vn/viec-lam/business-analyst-intern/1550105.html
JD032,Business Analyst Intern,ATALINK TECHNOLOGY JOINT STOCK COMPANY,Hồ Chí Minh,TopCV,Full-time Internship,Business Analyst,1 - 3 triệu,"Collect and analyze customer requirements; develop models and solutions; write project specification documents; organize training and troubleshoot issues.","Không yêu cầu kinh nghiệm; đại học trở lên.","customer requirements; specification; training; troubleshoot",,https://www.topcv.vn/viec-lam/business-analyst-intern/1995484.html
JD033,Business Analyst Intern,Công ty TNHH Tổng công ty Công nghệ & Giải pháp CMC,Hồ Chí Minh,TopCV,Internship,Business Analyst,Thoả thuận,"Hỗ trợ tìm hiểu vận hành doanh nghiệp, nghiệp vụ quy trình; nghiên cứu công nghệ RPA; đề xuất tự động hóa quy trình.","Không yêu cầu kinh nghiệm.","business process; RPA; automation; operation analysis",,https://www.topcv.vn/viec-lam/business-analyst-intern/1169198.html
JD034,Software Engineer Intern/ Thực Tập Sinh,Công ty TNHH Telio Việt Nam,"Hà Nội, Hồ Chí Minh",TopCV,Full-time Internship,Software / Other,Từ 8 triệu,"Tham gia implement innovation projects; được mentor bởi software development engineers; duration 6 months.","Không yêu cầu kinh nghiệm.","software engineering; innovation project; development",,https://www.topcv.vn/viec-lam/software-engineer-intern-thuc-tap-sinh/565913.html
JD035,Software Engineer Intern,Hitachi Vantara Vietnam Co Ltd,"Hà Nội, Hồ Chí Minh",TopCV,Internship,Software / Other,Thoả thuận,"Programming and developing web applications, web services trên nhiều platform; phối hợp team đảm bảo product quality.","Dưới 1 năm kinh nghiệm.","web application; web service; programming; product quality",,https://www.topcv.vn/viec-lam/software-engineer-intern/496178.html
JD036,Software Engineer Intern,CÔNG TY TNHH BUYMED,Hồ Chí Minh,TopCV,Internship,Software / Other,Tới 3 triệu,"Tham gia software development activities; viết code implement features/fix bugs; unit testing; documentation; teamwork và report status.","Không yêu cầu kinh nghiệm; GPA từ 7; làm 3-5 ngày/tuần.","software development; coding; unit testing; documentation; teamwork",,https://www.topcv.vn/viec-lam/software-engineer-intern/483605.html
JD037,Software Engineer Intern,GoWare Technology JSC,Hồ Chí Minh - Quận 1,TopCV,Internship,Software / Other,Thoả thuận,"Break down requirements; đề xuất solution; implement solution; đảm bảo chất lượng codebase; làm trong startup environment.","Dưới 1 năm kinh nghiệm; có skill HTML5, Javascript, NodeJS, CSS3, ReactJS, problem-solving.","HTML5; JavaScript; NodeJS; CSS3; ReactJS; problem solving",,https://www.topcv.vn/viec-lam/software-engineer-intern/566619.html
JD038,Software Engineer Intern,Công ty TNHH MTV Netpower Việt Nam,Hồ Chí Minh - Tân Bình,TopCV,Full-time Internship,Software / Other,Thoả thuận,"Tham gia project với khách hàng European market; được training workflow, soft skills và software development bằng NodeJS, .NET, Java, Python, PHP, JS.","Không yêu cầu kinh nghiệm.","NodeJS; .NET; Java; Python; PHP; JavaScript; full stack; backend; frontend",,https://www.topcv.vn/viec-lam/software-engineer-intern/791769.html
JD039,Embedded Software Engineer Intern,BOSCH GLOBAL SOFTWARE TECHNOLOGIES,Hồ Chí Minh,TopCV,Internship,Software / Other,Thoả thuận,"Tham gia phát triển software cho Engine Control Unit; làm với dự án embedded software; hỗ trợ development team.","Sinh viên ngành Embedded Software Development; mạnh C/C++; scripting Python/Perl/VB; microcontroller; English.","C; C++; Python; Perl; embedded; microcontroller; RTOS",,https://www.topcv.vn/viec-lam/embedded-software-engineer-intern/890701.html
JD040,Software Engineer Intern - Backend Team,Công ty TNHH Cốc Cốc,Hồ Chí Minh - Quận 1,TopCV,Internship,Software / Other,Tới 8 triệu,"Build, iterate, test và deploy features/products; maintain codebase; tham gia Agile process; unit testing và documentation.","Không yêu cầu kinh nghiệm.","backend; Agile; unit testing; deployment; codebase",,https://www.topcv.vn/viec-lam/software-engineer-intern-backend-team/1038004.html
JD041,Intern Data Analyst (Trợ Cấp 3M-5M/Tháng),Công ty TNHH Dịch vụ công nghệ TP,Hà Nội,TopCV,Full-time,Data Analyst / BI,3 - 5 triệu,"Hỗ trợ phân tích dữ liệu, tổng hợp báo cáo và xử lý yêu cầu dữ liệu nội bộ.","Phù hợp ứng viên thực tập/fresher quan tâm Data Analyst, có tư duy phân tích và biết công cụ văn phòng.",data analyst intern; reporting; Excel; SQL; data analysis,,https://www.topcv.vn/viec-lam/intern-data-analyst-tro-cap-3m-5m-thang/2176140.html
JD042,Digital Transformation Intern - Business Analyst (BA) Intern,CÔNG TY TNHH THỜI TRANG CALIE HOUSE,Hà Nội,TopCV,Full-time,Business Analyst,4 - 5 triệu,"Hỗ trợ chuyển đổi số, ghi nhận yêu cầu nghiệp vụ và phối hợp với các bên liên quan.","Quan tâm business analyst, digital transformation, có khả năng giao tiếp và tài liệu hóa yêu cầu.",business analyst; digital transformation; requirement; documentation; stakeholder,,https://www.topcv.vn/viec-lam/digital-transformation-intern-business-analyst-ba-intern/2205509.html
JD043,Data Analyst Intern (IT Industry),Công ty Cổ Phần Base Enterprise,Hà Nội,TopCV,Part-time,Data Analyst / BI,Thoả thuận,Hỗ trợ phân tích dữ liệu trong môi trường sản phẩm/phần mềm doanh nghiệp.,"Phù hợp sinh viên hoặc ứng viên mới bắt đầu, quan tâm phân tích dữ liệu và sản phẩm IT.",data analyst; IT industry; Excel; SQL; reporting,,https://www.topcv.vn/viec-lam/data-analyst-intern-it-industry/1168667.html
JD044,Business Analyst Intern (Thực Tập Sinh BA),Tập Đoàn Novaon,Hà Nội,TopCV,Full-time,Business Analyst,Tới 2 triệu,"Hỗ trợ phân tích nghiệp vụ, viết tài liệu yêu cầu và phối hợp với team sản phẩm/kỹ thuật.","Ứng viên có tư duy logic, giao tiếp tốt, quan tâm BA/product/software project.",business analyst; requirement; user story; documentation; product,,https://www.topcv.vn/viec-lam/business-analyst-intern-thuc-tap-sinh-ba/1296943.html
JD045,Data Analyst Intern,Công ty TNHH INTERSPACE VIỆT NAM,Hà Nội,TopCV,Full-time,Data Analyst / BI,Từ 2 triệu,"Hỗ trợ phân tích dữ liệu, theo dõi số liệu vận hành/marketing và lập báo cáo.","Có khả năng xử lý dữ liệu cơ bản, cẩn thận, biết Excel/Google Sheets là lợi thế.",data analysis; Excel; Google Sheets; reporting; marketing data,,https://www.topcv.vn/viec-lam/data-analyst-intern/1575506.html
JD046,"Business Analyst Intern (Tài Chính, Kế, Kiểm)",CÔNG TY CỔ PHẦN CÔNG NGHỆ SICIX,Hà Nội,TopCV,Full-time,Business Analyst,Tới 5 triệu,Hỗ trợ phân tích nghiệp vụ tài chính/kế toán/kiểm toán và tài liệu hóa yêu cầu hệ thống.,"Phù hợp ứng viên quan tâm BA trong lĩnh vực tài chính, kế toán hoặc hệ thống doanh nghiệp.",business analyst; finance; accounting; requirement; ERP,,https://www.topcv.vn/viec-lam/business-analyst-intern-tai-chinh-ke-kiem/1951452.html
JD047,Data Analyst Intern,Viettel Group,Hà Nội,TopCV,Internship,Data Analyst / BI,Thoả thuận,Hỗ trợ phân tích dữ liệu và xây dựng báo cáo trong môi trường doanh nghiệp công nghệ lớn.,"Sinh viên hoặc ứng viên thực tập quan tâm data analyst, có nền tảng Excel/SQL/Python là lợi thế.",data analyst; SQL; Python; Excel; reporting,,https://www.topcv.vn/viec-lam/data-analyst-intern/538044.html
JD048,Thực Tập Sinh Phân Tích Nghiệp Vụ (Business Analyst Intern) - [HCM],Công ty Cổ phần Dịch vụ Tức Thời (Ahamove),Hồ Chí Minh,TopCV,Internship,Business Analyst,Thoả thuận,"Hỗ trợ phân tích nghiệp vụ, thu thập yêu cầu và phối hợp với team vận hành/sản phẩm.","Không yêu cầu kinh nghiệm; phù hợp ứng viên thích phân tích quy trình, tài liệu hóa và giao tiếp.",business analyst; requirement; operation; documentation; product,,https://www.topcv.vn/viec-lam/thuc-tap-sinh-phan-tich-nghiep-vu-business-analyst-intern-hcm/1125644.html
JD049,Intern Data Analyst,Công ty Cổ Phần Peasoft Việt Nam,Hà Nội,TopCV,Full-time,Data Analyst / BI,Tới 5 triệu,"Hỗ trợ thu thập, xử lý dữ liệu và tạo báo cáo phân tích cho hoạt động kinh doanh.","Ứng viên biết Excel, tư duy phân tích; SQL/Python là lợi thế.",data analyst intern; Excel; SQL; Python; business data,,https://www.topcv.vn/viec-lam/intern-data-analyst/2007105.html
JD050,Business Analyst Intern,CÔNG TY TNHH AI POWER,Hồ Chí Minh,TopCV,Full-time,Business Analyst,2 - 3 triệu,Hỗ trợ phân tích yêu cầu nghiệp vụ và phối hợp triển khai sản phẩm/dự án công nghệ.,"Phù hợp ứng viên mới bắt đầu BA, có kỹ năng giao tiếp và tư duy hệ thống.",business analyst; requirement; user story; product; AI,,https://www.topcv.vn/viec-lam/business-analyst-intern/1983156.html
JD051,Data Analyst Intern,CÔNG TY TNHH BUYMED,Hồ Chí Minh,TopCV,Full-time,Data Analyst / BI,Thoả thuận,"Hỗ trợ xử lý dữ liệu, theo dõi chỉ số và xây dựng báo cáo cho hoạt động kinh doanh.","Ứng viên quan tâm data analyst, có khả năng làm việc với Excel/SQL và tư duy chi tiết.",data analyst; SQL; Excel; reporting; business intelligence,,https://www.topcv.vn/viec-lam/data-analyst-intern/1112662.html
JD052,Data Analyst (Intern/Fresher),CÔNG TY CỔ PHẦN CÔNG NGHỆ ORECA,Hà Nội,TopCV,Full-time,Data Analyst / BI,2 - 4 triệu,"Hỗ trợ phân tích dữ liệu sản phẩm/kinh doanh, làm báo cáo và đề xuất insight.","Phù hợp intern/fresher có nền tảng Excel, SQL hoặc Python cơ bản.",data analyst; intern; fresher; SQL; Python; Excel,,https://www.topcv.vn/viec-lam/data-analyst-intern-fresher/1703484.html
JD053,Business Analyst Intern,Công ty Cổ phần Giải pháp du lịch Gohub,Hồ Chí Minh,TopCV,Full-time,Business Analyst,Thoả thuận,"Hỗ trợ phân tích yêu cầu, tài liệu hóa quy trình và làm việc với team sản phẩm.","Ứng viên quan tâm BA/product, có khả năng giao tiếp và học nhanh.",business analyst; product; requirement; documentation; process,,https://www.topcv.vn/viec-lam/business-analyst-intern/1205380.html
JD054,Business Analyst Intern - Hồ Chí Minh,CÔNG TY CỔ PHẦN PROSHIP,Hồ Chí Minh,TopCV,Internship,Business Analyst,Thoả thuận,"Hỗ trợ phân tích quy trình, thu thập yêu cầu và phối hợp triển khai hệ thống.",Không yêu cầu kinh nghiệm; phù hợp ứng viên muốn học BA trong môi trường logistics/công nghệ.,business analyst; requirement; process; logistics; documentation,,https://www.topcv.vn/viec-lam/business-analyst-intern-ho-chi-minh/1005721.html
JD055,Thực Tập Sinh Vận Hành AI (INTERN AI OPERATIONS),CÔNG TY CỔ PHẦN RTD,Hồ Chí Minh,TopCV,Internship,AI / ML,Thoả thuận,"Hỗ trợ vận hành hệ thống/ứng dụng AI, kiểm tra dữ liệu và theo dõi kết quả xử lý.","Phù hợp ứng viên quan tâm AI operations, dữ liệu, kiểm thử và cải thiện chất lượng đầu ra.",AI operations; data labeling; AI; testing; quality control,,https://www.topcv.vn/viec-lam/thuc-tap-sinh-van-hanh-ai-intern-ai-operations/2157975.html
JD056,Data Engineer Intern / Thực Tập Sinh Data Engineer,CÔNG TY TNHH KINH DOANH THƯƠNG MẠI LỤC THỦY,Hà Nội,TopCV,Full-time,Data Engineer,Thoả thuận,"Hỗ trợ xây dựng, xử lý và kiểm tra dữ liệu phục vụ pipeline/báo cáo.","Ứng viên quan tâm Data Engineer, biết SQL/Python cơ bản là lợi thế.",data engineer intern; SQL; Python; ETL; database,,https://www.topcv.vn/viec-lam/data-engineer-intern-thuc-tap-sinh-data-engineer-co-phu-cap-thuong/1616302.html
JD057,Business Analyst Intern,Công ty TNHH NHM Việt Nam,Hồ Chí Minh,TopCV,Internship,Business Analyst,Thoả thuận,"Hỗ trợ phân tích nghiệp vụ, viết tài liệu và phối hợp giữa business và technical team.",Yêu cầu dưới 1 năm kinh nghiệm hoặc sinh viên mới ra trường quan tâm BA.,business analyst; data analyst; business intelligence; requirement; documentation,,https://www.topcv.vn/viec-lam/business-analyst-intern/1077735.html
JD058,AI Engineer Intern,CÔNG TY CỔ PHẦN ĐẦU TƯ FINPROS,"Hà Nội, Hồ Chí Minh",TopCV,Internship,AI / ML,1 - 7 triệu,"Hỗ trợ xây dựng, thử nghiệm và vận hành các tính năng AI/ML.","Ứng viên quan tâm AI, có nền tảng Python, machine learning hoặc xử lý dữ liệu là lợi thế.",AI; machine learning; Python; model; data,,https://www.topcv.vn/viec-lam/ai-engineer-intern/1175304.html
JD059,Data Engineer Intern,CÔNG TY CỔ PHẦN ĐẦU TƯ FINPROS,"Hà Nội, Hồ Chí Minh",TopCV,Internship,Data Engineer,1 - 5 triệu,"Hỗ trợ xử lý dữ liệu, xây dựng pipeline và làm việc với database.","Ứng viên biết SQL/Python cơ bản, quan tâm data engineering.",data engineer; SQL; Python; ETL; database,,https://www.topcv.vn/viec-lam/data-engineer-intern/1008332.html
JD060,AI Engineer Intern,TopCV listing company,"Hà Nội, Hồ Chí Minh",TopCV,Internship,AI / ML,Thoả thuận,"Hỗ trợ phát triển ứng dụng AI, xử lý dữ liệu và thử nghiệm mô hình.","Ứng viên quan tâm AI engineer intern, biết Python/machine learning là lợi thế.",AI; Python; machine learning; model; research,,https://www.topcv.vn/viec-lam/ai-engineer-intern/1591903.html
JD061,Data Engineer Intern Full-Time,Savills Vietnam,Hồ Chí Minh,TopCV,Full-time,Data Engineer,Thoả thuận,"Hỗ trợ xử lý dữ liệu, xây dựng luồng dữ liệu và làm việc với team dữ liệu.","Phù hợp thực tập sinh full-time quan tâm database, ETL và reporting.",data engineer intern; full-time; SQL; ETL; data pipeline,,https://www.topcv.vn/viec-lam/data-engineer-intern-full-time/1161709.html
JD062,Data Engineer Intern,ATALINK TECHNOLOGY JOINT STOCK COMPANY,Hồ Chí Minh,TopCV,Full-time,Data Engineer,1 - 3 triệu,Hỗ trợ xây dựng và kiểm tra pipeline dữ liệu trong sản phẩm công nghệ.,"Ứng viên quan tâm Data Engineer, có nền tảng SQL/Python là lợi thế.",data engineer intern; SQL; Python; pipeline; database,,https://www.topcv.vn/viec-lam/data-engineer-intern/1991600.html
