job_id,job_title,company,location,source,employment_type,role_group,salary,description,requirements,skills_text,posted_date,url
JD013,Thực Tập Sinh Trí Tuệ Nhân Tạo AI Intern,Công ty TNHH Vietnam Concentrix Services,Hồ Chí Minh,TopCV,Full-time Internship,AI / ML,Thoả thuận,"Tham gia dự án AI thật cùng đội ngũ dev; có mentor hướng dẫn; liên quan LLM, Prompt Engineering hoặc Agent.","Có hiểu biết về LLM, Prompt Engineering hoặc từng thử nghiệm Agent.","LLM; prompt engineering; AI agent; development",,https://www.topcv.vn/brand/concentrixservices/tuyen-dung/thuc-tap-sinh-tri-tue-nhan-tao-ai-intern-j1988558.html
JD014,AI Engineer Intern,CÔNG TY CP HEPHAESTUS TECHNOLOGY,Hồ Chí Minh,TopCV,Internship,AI / ML,1 - 5 triệu,"Tham gia nghiên cứu, phát triển và xây dựng công nghệ lõi AI cho xử lý ngôn ngữ tự nhiên NLP.","Dưới 1 năm kinh nghiệm; định hướng AI Engineer.","AI; NLP; research; model development",,https://www.topcv.vn/viec-lam/ai-engineer-intern/1024400.html
JD015,AI Intern,IMT SOLUTIONS CORP,Hồ Chí Minh,TopCV,Internship,AI / ML,Tới 1 triệu,"Làm việc với team để làm rõ requirement; hỗ trợ maintain và thêm feature cho AI projects; research và integrate LLM.","Không yêu cầu kinh nghiệm; đại học trở lên.","AI project; LLM; requirement; feature development",,https://www.topcv.vn/viec-lam/ai-intern/1598604.html
JD016,Machine Learning Intern,MCV Corporation,Hồ Chí Minh - Quận 7,TopCV,Full-time Internship,AI / ML,Từ 5 triệu,"Vị trí Machine Learning Intern trong công ty truyền thông/quảng cáo, thực tập sinh số lượng tuyển 5.","Phù hợp ứng viên quan tâm Machine Learning.","machine learning; AI; data science",,https://www.topcv.vn/viec-lam/machine-learning-intern/835775.html
JD017,Data Engineer Intern,CÔNG TY CỔ PHẦN ĐẦU TƯ FINPROS,Hà Nội, Hồ Chí Minh,TopCV,Internship,Data Engineer,1 - 5 triệu,"Phát triển công cụ lưu trữ dữ liệu; tối ưu ghi/đọc database; xây dựng kết nối dữ liệu; hoàn thiện Data Center/Data Warehouse.","Không yêu cầu kinh nghiệm.","database; data warehouse; data center; data source; performance",,https://www.topcv.vn/viec-lam/data-engineer-intern/1008332.html
JD018,Data Engineer Intern,Orient Software Development Corporation,Đà Nẵng, Hồ Chí Minh,TopCV,Internship,Data Engineer,Tới 4 triệu,"Research data tools; đề xuất giải pháp; thiết kế và hỗ trợ quá trình data integration.","Không yêu cầu kinh nghiệm.","data tools; data integration; implementation; estimation",,https://www.topcv.vn/viec-lam/data-engineer-intern/888783.html
JD019,Data Engineer Intern,KYANON DIGITAL,Hồ Chí Minh,TopCV,Internship,Data Engineer,Từ 2 triệu,"Maintain data warehouse; technical support BI team to build dashboard reporting; làm task từ mentor.","Dưới 1 năm kinh nghiệm; đang học/tốt nghiệp IT, IS, Software Engineer hoặc liên quan.","data warehouse; BI; dashboard; technical support",,https://www.topcv.vn/viec-lam/data-engineer-intern/591889.html
JD020,Data Engineer Intern,ATALINK TECHNOLOGY JOINT STOCK COMPANY,Hồ Chí Minh,TopCV,Internship,Data Engineer,1 - 3 triệu,"Xây dựng và duy trì data pipelines ETL/ELT; collect, clean, process data từ API, database, file, crawler; làm với PostgreSQL, MySQL, ClickHouse, Airflow.","Sinh viên năm cuối hoặc mới tốt nghiệp CS, Data Science, IS, Mathematics hoặc liên quan.","ETL; ELT; API; PostgreSQL; MySQL; ClickHouse; Airflow; SQL",,https://www.topcv.vn/viec-lam/data-engineer-intern/1991600.html
JD021,Data Engineer Intern,Orient Software Development Corporation,Hồ Chí Minh, Đà Nẵng,TopCV,Internship,Data Engineer,Thoả thuận,"Research data tools để giải quyết yêu cầu khách hàng; đề xuất solution, estimation và implement tools/integration.","Không yêu cầu kinh nghiệm.","data tools; data integration; customer requirements",,https://www.topcv.vn/viec-lam/data-engineer-intern/968072.html
JD022,Data Engineer Intern,Công ty Cổ phần Dịch vụ Tức Thời Ahamove,Hồ Chí Minh,TopCV,Internship,Data Engineer,Thoả thuận,"Maintain và optimize data infrastructure gồm database, ETL/ELT pipelines; làm với GCP, AWS, Databricks; ETL/ELT data mart.","Không yêu cầu kinh nghiệm.","ETL; ELT; database; GCP; AWS; Databricks; data mart",,https://www.topcv.vn/viec-lam/data-engineer-intern/1190610.html
JD023,Data Engineer Intern Internship Training Program,SCC VIETNAM,Hồ Chí Minh,TopCV,Internship,Data Engineer,Tới 4 triệu,"Tham gia Microsoft Power BI training program; học cách xây dựng business intelligence reports.","Không yêu cầu kinh nghiệm.","Power BI; BI report; data engineering training",,https://www.topcv.vn/viec-lam/data-engineer-intern-internship-training-program/616132.html
JD024,Data Engineering Intern,ShopBack,Hồ Chí Minh,ShopBack Careers,Internship,Data Engineer,Unknown,"Tin careers ShopBack thuộc Engineering - Data Platform, vị trí Data Engineering Intern tại Ho Chi Minh, Vietnam.","Thông tin chi tiết cần crawl từ trang Lever job detail.","data engineering; data platform; engineering",,https://jobs.lever.co/shopback-2/
JD025,Business Analyst Intern,SmartPay,Hồ Chí Minh,TopCV,Internship,Business Analyst,Tới 2 triệu,"Research công nghệ và product functionalities; phát triển BRD, transaction flows; phối hợp team và hỗ trợ operation.","Dưới 1 năm kinh nghiệm.","BRD; transaction flow; product; requirement; operation",,https://www.topcv.vn/viec-lam/business-analyst-intern/503522.html
JD026,Business Analyst Intern - Hồ Chí Minh,CÔNG TY CỔ PHẦN PROSHIP,Hồ Chí Minh - Tân Bình,TopCV,Internship,Business Analyst,Thoả thuận,"Thu thập và tìm hiểu yêu cầu nghiệp vụ; tạo tài liệu đặc tả hệ thống, use case, business rules, wireframe; hỗ trợ kiểm thử.","Không yêu cầu kinh nghiệm; có nền tảng IT; biết dữ liệu và truy vấn dữ liệu cơ bản; Figma là lợi thế.","requirements; use case; business rules; wireframe; testing; Figma; SQL",,https://www.topcv.vn/viec-lam/business-analyst-intern-ho-chi-minh/1005721.html
JD027,Business Analyst Intern,CÔNG TY TNHH PEACH CONSULTING,Hồ Chí Minh - Bình Thạnh,TopCV,Internship,Business Analyst,Từ 3 triệu,"Hiểu nhu cầu khách hàng; phân tích và thiết kế hệ thống; đề xuất technical solution; phối hợp stakeholder; test và đánh giá performance.","Khoảng 1 năm kinh nghiệm.","stakeholder; system analysis; solution; testing; performance",,https://www.topcv.vn/viec-lam/business-analyst-intern/1099314.html
JD028,Business Analyst Intern,Công ty TNHH NHM Việt Nam,Hồ Chí Minh,TopCV,Internship,Business Analyst,Thoả thuận,"Gathering requirements; phân tích quy trình, workflow, system; phân tích dữ liệu để hỗ trợ decision-making.","Dưới 1 năm kinh nghiệm.","requirements gathering; workflow; process; data analysis",,https://www.topcv.vn/viec-lam/business-analyst-intern/1077735.html
JD029,Business Analyst Intern,Công ty TNHH Lửa Á Châu,Hồ Chí Minh,TopCV,Internship,Business Analyst,Thoả thuận,"Phân tích yêu cầu khách hàng; thiết kế quy trình kinh doanh thành hệ thống; mô tả và phân tích nghiệp vụ; xây dựng tài liệu đặc tả.","Không yêu cầu kinh nghiệm; đại học trở lên.","business process; requirement analysis; specification; documentation",,https://www.topcv.vn/viec-lam/business-analyst-intern/334067.html
JD030,Business Analyst Intern,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ CÔNG NGHỆ BIZITRIP,Hồ Chí Minh,TopCV,Internship,Business Analyst,Thoả thuận,"Hỗ trợ thu thập và phân tích yêu cầu người dùng; viết BRD, URD; phân tích quy trình đặt vé máy bay, khách sạn, tour; hỗ trợ kiểm thử.","Không yêu cầu kinh nghiệm; cao đẳng trở lên.","BRD; URD; user requirement; process analysis; testing",,https://www.topcv.vn/viec-lam/business-analyst-intern/1500263.html
JD031,Business Analyst Intern,ATALINK TECHNOLOGY JOINT STOCK COMPANY,Hồ Chí Minh - Quận 12,TopCV,Full-time Internship,Business Analyst,1 - 3 triệu,"Tự động hóa việc gathering, analysis và reporting metrics; market research; competitor analysis; dùng quantitative analysis và statistics.","Không yêu cầu kinh nghiệm.","market research; metrics; reporting; statistics; quantitative analysis",,https://www.topcv.vn/viec-lam/business-analyst-intern/1550105.html
JD032,Business Analyst Intern,ATALINK TECHNOLOGY JOINT STOCK COMPANY,Hồ Chí Minh,TopCV,Full-time Internship,Business Analyst,1 - 3 triệu,"Collect and analyze customer requirements; develop models and solutions; write project specification documents; organize training and troubleshoot issues.","Không yêu cầu kinh nghiệm; đại học trở lên.","customer requirements; specification; training; troubleshoot",,https://www.topcv.vn/viec-lam/business-analyst-intern/1995484.html
JD033,Business Analyst Intern,Công ty TNHH Tổng công ty Công nghệ & Giải pháp CMC,Hồ Chí Minh,TopCV,Internship,Business Analyst,Thoả thuận,"Hỗ trợ tìm hiểu vận hành doanh nghiệp, nghiệp vụ quy trình; nghiên cứu công nghệ RPA; đề xuất tự động hóa quy trình.","Không yêu cầu kinh nghiệm.","business process; RPA; automation; operation analysis",,https://www.topcv.vn/viec-lam/business-analyst-intern/1169198.html
JD034,Software Engineer Intern/ Thực Tập Sinh,Công ty TNHH Telio Việt Nam,Hà Nội, Hồ Chí Minh,TopCV,Full-time Internship,Software / Other,Từ 8 triệu,"Tham gia implement innovation projects; được mentor bởi software development engineers; duration 6 months.","Không yêu cầu kinh nghiệm.","software engineering; innovation project; development",,https://www.topcv.vn/viec-lam/software-engineer-intern-thuc-tap-sinh/565913.html
JD035,Software Engineer Intern,Hitachi Vantara Vietnam Co Ltd,Hà Nội, Hồ Chí Minh,TopCV,Internship,Software / Other,Thoả thuận,"Programming and developing web applications, web services trên nhiều platform; phối hợp team đảm bảo product quality.","Dưới 1 năm kinh nghiệm.","web application; web service; programming; product quality",,https://www.topcv.vn/viec-lam/software-engineer-intern/496178.html
JD036,Software Engineer Intern,CÔNG TY TNHH BUYMED,Hồ Chí Minh,TopCV,Internship,Software / Other,Tới 3 triệu,"Tham gia software development activities; viết code implement features/fix bugs; unit testing; documentation; teamwork và report status.","Không yêu cầu kinh nghiệm; GPA từ 7; làm 3-5 ngày/tuần.","software development; coding; unit testing; documentation; teamwork",,https://www.topcv.vn/viec-lam/software-engineer-intern/483605.html
JD037,Software Engineer Intern,GoWare Technology JSC,Hồ Chí Minh - Quận 1,TopCV,Internship,Software / Other,Thoả thuận,"Break down requirements; đề xuất solution; implement solution; đảm bảo chất lượng codebase; làm trong startup environment.","Dưới 1 năm kinh nghiệm; có skill HTML5, Javascript, NodeJS, CSS3, ReactJS, problem-solving.","HTML5; JavaScript; NodeJS; CSS3; ReactJS; problem solving",,https://www.topcv.vn/viec-lam/software-engineer-intern/566619.html
JD038,Software Engineer Intern,Công ty TNHH MTV Netpower Việt Nam,Hồ Chí Minh - Tân Bình,TopCV,Full-time Internship,Software / Other,Thoả thuận,"Tham gia project với khách hàng European market; được training workflow, soft skills và software development bằng NodeJS, .NET, Java, Python, PHP, JS.","Không yêu cầu kinh nghiệm.","NodeJS; .NET; Java; Python; PHP; JavaScript; full stack; backend; frontend",,https://www.topcv.vn/viec-lam/software-engineer-intern/791769.html
JD039,Embedded Software Engineer Intern,BOSCH GLOBAL SOFTWARE TECHNOLOGIES,Hồ Chí Minh,TopCV,Internship,Software / Other,Thoả thuận,"Tham gia phát triển software cho Engine Control Unit; làm với dự án embedded software; hỗ trợ development team.","Sinh viên ngành Embedded Software Development; mạnh C/C++; scripting Python/Perl/VB; microcontroller; English.","C; C++; Python; Perl; embedded; microcontroller; RTOS",,https://www.topcv.vn/viec-lam/embedded-software-engineer-intern/890701.html
JD040,Software Engineer Intern - Backend Team,Công ty TNHH Cốc Cốc,Hồ Chí Minh - Quận 1,TopCV,Internship,Software / Other,Tới 8 triệu,"Build, iterate, test và deploy features/products; maintain codebase; tham gia Agile process; unit testing và documentation.","Không yêu cầu kinh nghiệm.","backend; Agile; unit testing; deployment; codebase",,https://www.topcv.vn/viec-lam/software-engineer-intern-backend-team/1038004.html
